epoch,accuracy,loss,val_accuracy,val_loss
0,0.7350000143051147,0.6979581117630005,0.8412500023841858,0.3365401029586792
1,0.8270000219345093,0.3783435523509979,0.8824999928474426,0.2715982496738434
2,0.8759999871253967,0.28279566764831543,0.9087499976158142,0.2483559548854828
3,0.8999999761581421,0.22707954049110413,0.9037500023841858,0.2611614465713501
4,0.9120000004768372,0.2106100618839264,0.8849999904632568,0.30699628591537476
5,0.9200000166893005,0.1884440779685974,0.8787500262260437,0.3199266195297241
6,0.9359999895095825,0.15896542370319366,0.9087499976158142,0.269347220659256
7,0.9449999928474426,0.12663330137729645,0.9100000262260437,0.32288888096809387
8,0.9549999833106995,0.11240283399820328,0.8374999761581421,0.5485208630561829
9,0.9610000252723694,0.09670866280794144,0.893750011920929,0.36141669750213623
